course_code,title,units,prerequisite_text
BIOENGR10,General Catalog 2024-25,2.0,
BIOENGR100,General Catalog 2024-25,4.0,"Mathematics 32A, Physics 1A"
BIOENGR110,General Catalog 2024-25,4.0,"course 100, Mathematics 33B"
BIOENGR120,General Catalog 2024-25,4.0,"Mathematics 32B, Physics 1C"
BIOENGR121,General Catalog 2024-25,4.0,"Civil and Environmental Engineering M20 or Mechanical and Aerospace Engineering M20 or Computer Science 31, and Electrical and Computer Engineering 100, or equivalent"
BIOENGR122,General Catalog 2024-25,4.0,"Mathematics 33A, Physics 1C, or consent of instructor"
BIOENGR132,General Catalog 2024-25,4.0,
BIOENGR167L,General Catalog 2024-25,4.0,Chemistry 20L
BIOENGR170,General Catalog 2024-25,4.0,
BIOENGR175,General Catalog 2024-25,4.0,"Civil Engineering M20 or Mechanical and Aerospace Engineering M20 or Computer Science 31, Mathematics 32B, 33A"
BIOENGR176,General Catalog 2024-25,4.0,"course 100, Mathematics 33B, Physics 1C"
BIOENGR177A,General Catalog 2024-25,4.0,"courses 167L, 176"
BIOENGR177B,General Catalog 2024-25,4.0,course 177A
BIOENGR180,General Catalog 2024-25,4.0,"courses 100, 110, 120, Life Sciences 7A, Physics 1C"
BIOENGR180L,General Catalog 2024-25,4.0,course 180
BIOENGR199,General Catalog 2024-25,8.0,
BIOENGRC101,General Catalog 2024-25,4.0,"Mathematics 33B, Physics 1B"
BIOENGRC102,General Catalog 2024-25,4.0,
BIOENGRC104,General Catalog 2024-25,4.0,"Chemistry 20A, 20B, 30A, Life Sciences 7A"
BIOENGRC105,General Catalog 2024-25,4.0,"Chemistry 20A, 20B, 20L"
BIOENGRC106,General Catalog 2024-25,4.0,"Chemistry 20B, Life Sciences 7A, Mathematics 33B, Physics 1C"
BIOENGRC107,General Catalog 2024-25,4.0,course C104 or C105
BIOENGRC131,General Catalog 2024-25,4.0,"courses 100, 120, Life Sciences 7A, Physics 1A, 1B, 1C"
BIOENGRC135,General Catalog 2024-25,4.0,"Physics 1A, 1B"
BIOENGRC139A,General Catalog 2024-25,4.0,
BIOENGRC139B,General Catalog 2024-25,4.0,
BIOENGRC147,General Catalog 2024-25,4.0,"course CM102, Chemistry 20A, 20B, 20L, Life Sciences 7A"
BIOENGRC155,General Catalog 2024-25,4.0,course 110
BIOENGRC166,General Catalog 2024-25,4.0,
BIOENGRC179,General Catalog 2024-25,4.0,course CM178
BIOENGRC183,General Catalog 2024-25,4.0,"Chemistry 20A, 20B, 20L"
BIOENGRC185,General Catalog 2024-25,4.0,"course CM102 or CM202, Chemistry 20A, 20B, 20L"
BIOENGRCM140,General Catalog 2024-25,4.0,"Mechanical and Aerospace Engineering 101, 102, and 156A or 166A"
BIOENGRCM145,General Catalog 2024-25,4.0,Chemical Engineering 45 or Life Sciences 7C
BIOENGRCM178,General Catalog 2024-25,4.0,"Chemistry 20A, 20B, and 20L, or Materials Science 104"
BIOENGRCM186,General Catalog 2024-25,5.0,"Life Sciences 30A, 30B, Mathematics 32A or M32T, 33A, and 33B; or Mathematics 31A, 31B, 32A or M32T, 33A, and 33B"
BIOENGRCM187,General Catalog 2024-25,4.0,"course M182 or CM186 or Computational and Systems Biology M150; and research experience (course 199, Computational and Systems Biology 199, Computer Science 199, or equivalent)"
BIOENGRM153,General Catalog 2024-25,4.0,"Chemistry 20A, Physics 1A, 1B, 1C, 4AL"
BIOENGRM182,General Catalog 2024-25,4.0,"Life Sciences 30A and 30B, or Mathematics 3A and 3B, or 31A and 31B"
CEE1,General Catalog 2024-25,2.0,
CEE103,General Catalog 2024-25,4.0,"course M20 (or Computer Science 31), Mathematics 33B or Mechanical and Aerospace Engineering 82 (either may be taken concurrently)"
CEE107,General Catalog 2024-25,4.0,"Mathematics 32B, 33A"
CEE108,General Catalog 2024-25,4.0,"course 91 or Mechanical and Aerospace Engineering 101, Mathematics 32B, Physics 1A"
CEE108L,General Catalog 2024-25,4.0,course 108
CEE110,General Catalog 2024-25,4.0,"Mathematics 32A, 33A"
CEE116XP,General Catalog 2024-25,5.0,
CEE120,General Catalog 2024-25,4.0,course 108
CEE120L,General Catalog 2024-25,4.0,course 120
CEE121,General Catalog 2024-25,4.0,course 120
CEE123,General Catalog 2024-25,4.0,course 121
CEE125,General Catalog 2024-25,4.0,course 135A
CEE129L,General Catalog 2024-25,4.0,
CEE130,General Catalog 2024-25,4.0,course 108
CEE132,General Catalog 2024-25,4.0,"course 91, Physics 1B"
CEE135A,General Catalog 2024-25,4.0,"courses M20 (or Computer Science 31), 108"
CEE135B,General Catalog 2024-25,4.0,course 135A
CEE135L,General Catalog 2024-25,4.0,"courses M20, 135A"
CEE140L,General Catalog 2024-25,4.0,course 142
CEE141,General Catalog 2024-25,4.0,course 135A
CEE142,General Catalog 2024-25,4.0,course 135A
CEE143,General Catalog 2024-25,4.0,"courses 135A, 142"
CEE144,General Catalog 2024-25,4.0,"courses 141 or 142, and 190"
CEE147,General Catalog 2024-25,4.0,"courses 135B, 141, 190"
CEE148,General Catalog 2024-25,4.0,"courses 108, 135A"
CEE150,General Catalog 2024-25,4.0,"courses M20 (or Computer Science 31), 107 (or Mechanical and Aerospace Engineering 103)"
CEE151,General Catalog 2024-25,4.0,"courses 107 (or Mechanical and Aerospace Engineering 103), 150"
CEE152,General Catalog 2024-25,4.0,"courses 150, 151, 190"
CEE153,General Catalog 2024-25,4.0,course 107 (or Mechanical and Aerospace Engineering 103)
CEE154,General Catalog 2024-25,4.0,course 153
CEE155,General Catalog 2024-25,4.0,course 153
CEE156A,General Catalog 2024-25,4.0,"course 153 (may be taken concurrently), Chemistry 20A, 20B"
CEE156B,General Catalog 2024-25,4.0,"Chemistry 20A, 20B"
CEE157A,General Catalog 2024-25,4.0,course 150 or 151
CEE157B,General Catalog 2024-25,4.0,"courses 155, 190"
CEE157C,General Catalog 2024-25,4.0,"courses 155, 190"
CEE157L,General Catalog 2024-25,4.0,course 150
CEE180,General Catalog 2024-25,4.0,
CEE190,General Catalog 2024-25,2.0,"one course from 121, 141, 142, 151, 155 (may be taken concurrently)"
CEE58XP,General Catalog 2024-25,5.0,
CEE91,General Catalog 2024-25,4.0,"Mathematics 31A, 31B, Physics 1A"
CEEC104,General Catalog 2024-25,4.0,"course 91 or Mechanical and Aerospace Engineering 101, Chemistry 20A, 20B, Mathematics 31A, 31B, 32B, Physics 1A, 1B, 1C"
CEEC105,General Catalog 2024-25,4.0,"course 91 or Mechanical and Aerospace Engineering 101, Chemistry 20A, 20B, Mathematics 31A, 31B, 32B, Physics 1A, 1B, 1C"
CEEC106,General Catalog 2024-25,4.0,"Chemistry and Biochemistry 20A, 20B, Mathematics 31A, 31B, 32B, Physics 1A, 1B, 1C"
CEEC111,General Catalog 2024-25,4.0,"course M20, Chemistry 20A, 20B, Mathematics 31A, 31B, 32B, Physics 1A, 1B, 1C"
CEEC158,General Catalog 2024-25,4.0,"courses 107 or Mechanical and Aerospace Engineering 103, 151"
CEEC159,General Catalog 2024-25,4.0,"courses 150, 153"
CEEC164,General Catalog 2024-25,4.0,course 153
CEEC181,General Catalog 2024-25,4.0,course 180
CEEC182,General Catalog 2024-25,4.0,"courses C104, 108, 120, Materials Science 104"
CEEC183,General Catalog 2024-25,4.0,
CEEC184,General Catalog 2024-25,,
CEEC185,General Catalog 2024-25,4.0,course 180
CEEC186,General Catalog 2024-25,4.0,course 180
CEEM135C,General Catalog 2024-25,4.0,course 130 or Mechanical and Aerospace Engineering 156A or 166A
CEEM165,General Catalog 2024-25,4.0,Engineering M101
CEEM166,General Catalog 2024-25,4.0,course 153
CEEM20,General Catalog 2024-25,4.0,Mathematics 33A
CHENGR10,General Catalog 2024-25,1.0,
CHENGR100,General Catalog 2024-25,4.0,"Chemistry 20B, 20L (not enforced), Mathematics 32B (may be taken concurrently), Physics 1A"
CHENGR101A,General Catalog 2024-25,4.0,"Mathematics 33A, 33B"
CHENGR101B,General Catalog 2024-25,4.0,course 101A
CHENGR101C,General Catalog 2024-25,4.0,course 101B
CHENGR102A,General Catalog 2024-25,4.0,
CHENGR102B,General Catalog 2024-25,4.0,course 102A
CHENGR103,General Catalog 2024-25,4.0,"courses 100, 101B"
CHENGR104A,General Catalog 2024-25,4.0,course 100
CHENGR104B,General Catalog 2024-25,6.0,"courses 101C, 103, 104A"
CHENGR104C,General Catalog 2024-25,3.0,course 101C
CHENGR104CL,General Catalog 2024-25,3.0,course 101C
CHENGR104D,General Catalog 2024-25,6.0,"courses 101C, C125"
CHENGR106,General Catalog 2024-25,4.0,"courses 100, 101C, 102B"
CHENGR107,General Catalog 2024-25,4.0,"courses 101C, 103 (or C125), 106 (or C115)"
CHENGR108A,General Catalog 2024-25,4.0,"courses 103 (or C125), 104A, 106 (or C115)"
CHENGR108B,General Catalog 2024-25,4.0,"courses 103 (or C125), 106 (or C115), 108A, Civil and Environmental Engineering M20 (or Mechanical and Aerospace Engineering M20)"
CHENGR109,General Catalog 2024-25,4.0,Civil and Environmental Engineering M20 or Mechanical and Aerospace Engineering M20
CHENGR110,General Catalog 2024-25,4.0,course 102B
CHENGR113,General Catalog 2024-25,4.0,"courses 101C, 102B"
CHENGR45,General Catalog 2024-25,4.0,"Chemistry 20A, 20L, 30A, 30L"
CHENGRC111,General Catalog 2024-25,4.0,"courses 102A, 102B (or Materials Science 130)"
CHENGRC112,General Catalog 2024-25,4.0,"course 101A, Chemistry 30A"
CHENGRC115,General Catalog 2024-25,4.0,course 101C
CHENGRC116,General Catalog 2024-25,4.0,
CHENGRC118,General Catalog 2024-25,4.0,"courses 101C, 102B"
CHENGRC119,General Catalog 2024-25,4.0,course 108A
CHENGRC121,General Catalog 2024-25,4.0,"courses 101A, 101C, 103"
CHENGRC125,General Catalog 2024-25,4.0,course 101C
CHENGRC128,General Catalog 2024-25,4.0,Chemistry 20A
CHENGRC135,General Catalog 2024-25,4.0,course 107
CHENGRC140,General Catalog 2024-25,4.0,course 101C
CHENGRCM114,General Catalog 2024-25,4.0,"course 102B, Mechanical and Aerospace Engineering 105A (or Materials Science 130)"
CHENGRCM145,General Catalog 2024-25,4.0,course 45 or Life Sciences 7C
CHEM153A,General Catalog 2024-25,4.0,"course 14D or 30B, with grade of C– or better"
CHEM20A,General Catalog 2024-25,4.0,completion of Chemistry Diagnostic Test
CHEM20B,General Catalog 2024-25,4.0,"course 14A or 14AE or 20A or 20AH, and Mathematics 31A, with grades of C– or better"
CHEM20L,General Catalog 2024-25,3.0,course 14A or 20A with grade of C– or better
CHEM30A,General Catalog 2024-25,4.0,course 20B with grade of C– or better
CHEM30AL,General Catalog 2024-25,4.0,"courses 20B (or 20BH), 20L, and 30A (or 30AH), with grades of C– or better"
CHEM30B,General Catalog 2024-25,4.0,"course 30A or 30AH, with grade of C– or better"
CHEMC105,General Catalog 2024-25,4.0,course 153A with grade of C– or better
CHEMC159,General Catalog 2024-25,4.0,course 153B
COMSCI1,General Catalog 2024-25,1.0,
COMSCI111,General Catalog 2024-25,5.0,"courses 32, 33, 35L"
COMSCI112,General Catalog 2024-25,4.0,"course 111 and one course from Civil Engineering 110, Electrical Engineering 131A, Mathematics 170A, or Statistics 100A"
COMSCI117,General Catalog 2024-25,4.0,
COMSCI118,General Catalog 2024-25,4.0,course 111
COMSCI130,General Catalog 2024-25,4.0,"courses 111, 131"
